id;first_name;last_name;email;phone;loyalty_points
1;Sonya;Blick;Fidel.Wilderman47@hotmail.com;277.819.4727 x67168;32268
2;Ubaldo;Ullrich;Emmalee_Gulgowski90@gmail.com;783.682.0097;4772
3;Rosanna;Simonis;Pierce.Jaskolski22@hotmail.com;1-962-828-6687 x180;1452
4;Vergie;Donnelly;Lavina.Bartoletti@gmail.com;(634) 354-5621 x4728;32443
5;Antone;Spencer;Chelsie.Gerlach@hotmail.com;(743) 269-5825 x3481;14551
6;Kiel;VonRueden;Ashlee76@hotmail.com;1-299-775-5042 x507;21435
7;Breanne;Blick;Gerhard.Weber@yahoo.com;1-325-316-1021 x0594;22041
8;Macie;Schumm;Rodrick_Crona@hotmail.com;1-372-222-1390 x7715;28192
9;Laila;Mayer;Deshaun63@gmail.com;732.248.2430 x046;4321
10;Salvador;Blick;Sabryna.Hirthe@yahoo.com;(209) 787-8994 x99885;20010
